--------- beginning of main
12-08 13:12:42.617 D/LOG_CRASH(16019): RoutesFragment.onViewCreated - IN+ÏCIO
12-08 13:12:42.617 D/LOG_CRASH(16019): RoutesFragment.onViewCreated - Inicializando UserSessionManager
12-08 13:12:42.617 D/LOG_CRASH(16019): RoutesFragment.onViewCreated - Configurando RecyclerView
12-08 13:12:42.619 D/LOG_CRASH(16019): RoutesFragment.onViewCreated - Configurando ClickListeners
12-08 13:12:42.619 D/LOG_CRASH(16019): RoutesFragment.setupClickListeners - IN+ÏCIO
12-08 13:12:42.619 D/LOG_CRASH(16019): RoutesFragment.setupClickListeners - Configurando bot+˙o de menu
12-08 13:12:42.619 D/LOG_CRASH(16019): RoutesFragment.onViewCreated - Configurando NavigationDrawer
12-08 13:12:42.621 D/LOG_CRASH(16019): RoutesFragment.onViewCreated - Configurando Observers
12-08 13:12:42.621 D/LOG_CRASH(16019): RoutesFragment.observeViewModel - IN+ÏCIO
12-08 13:12:42.621 D/LOG_CRASH(16019): RoutesFragment.observeViewModel - Configurando observer de rotas
12-08 13:12:42.623 D/LOG_CRASH(16019): RoutesFragment.observeViewModel - Configurando observer de estat+°sticas
12-08 13:12:42.623 D/LOG_CRASH(16019): RoutesFragment.observeViewModel - Configurando observer de mensagens de erro
12-08 13:12:42.624 D/LOG_CRASH(16019): RoutesFragment.observeViewModel - CONFIGURA+Á+‚O COMPLETA
12-08 13:12:42.627 D/LOG_CRASH(16019): RoutesFragment.onViewCreated - Configurando bot+˙o voltar
12-08 13:12:42.627 D/LOG_CRASH(16019): RoutesFragment.onViewCreated - CONFIGURA+Á+‚O COMPLETA
12-08 13:12:42.741 D/LOG_CRASH(16019): RoutesFragment.observeViewModel - Recebidas 0 rotas
12-08 13:12:42.744 D/LOG_CRASH(16019): RoutesFragment.observeViewModel - Recebidas 2 rotas
12-08 13:12:42.748 D/LOG_CRASH(16019): RoutesFragment.observeViewModel - Recebidas estat+°sticas: mesas=0, clientes=0, pend+¨ncias=0
12-08 13:12:42.751 D/LOG_CRASH(16019): RoutesFragment.observeViewModel - Recebidas estat+°sticas: mesas=1, clientes=1, pend+¨ncias=1
12-08 13:12:44.478 D/LOG_CRASH(16019): ClientListFragment.onViewCreated - IN+ÏCIO
12-08 13:12:44.492 D/LOG_CRASH(16019): ClientListFragment.configurarRecyclerView - IN+ÏCIO
12-08 13:12:44.493 D/LOG_CRASH(16019): ClientListFragment.configurarBotoes - IN+ÏCIO
12-08 13:12:44.493 D/LOG_CRASH(16019): ClientListFragment.configurarBotoes - Configurando bot+˙o voltar
12-08 13:12:49.366 D/LOG_CRASH(16019): ClientListFragment.onViewCreated - IN+ÏCIO
12-08 13:12:49.372 D/LOG_CRASH(16019): ClientListFragment.configurarRecyclerView - IN+ÏCIO
12-08 13:12:49.372 D/LOG_CRASH(16019): ClientListFragment.configurarBotoes - IN+ÏCIO
12-08 13:12:49.372 D/LOG_CRASH(16019): ClientListFragment.configurarBotoes - Configurando bot+˙o voltar
12-08 13:13:02.526 D/LOG_CRASH(16019): ClientListFragment.onViewCreated - IN+ÏCIO
12-08 13:13:02.532 D/LOG_CRASH(16019): ClientListFragment.configurarRecyclerView - IN+ÏCIO
12-08 13:13:02.532 D/LOG_CRASH(16019): ClientListFragment.configurarBotoes - IN+ÏCIO
12-08 13:13:02.532 D/LOG_CRASH(16019): ClientListFragment.configurarBotoes - Configurando bot+˙o voltar
12-08 13:13:08.063 D/CycleExpensesViewModel(16019): ‘£‡ Despesas atualizadas: 0 itens
12-08 13:13:08.068 D/CycleExpensesViewModel(16019): ≠Éˆ‰ Carregando despesas para ciclo: 2
12-08 13:13:08.151 D/CycleExpensesViewModel(16019): ≠ÉÙË Processando 1 despesas
12-08 13:13:08.153 D/CycleExpensesViewModel(16019): ‘£‡ Despesas atualizadas: 1 itens
12-08 13:13:11.220 D/CycleExpensesViewModel(16019): ‘£‡ Despesa 2 removida com sucesso do banco
12-08 13:13:11.227 D/CycleExpensesViewModel(16019): ≠ÉÙË Processando 0 despesas
12-08 13:13:11.227 D/CycleExpensesViewModel(16019): ‘£‡ Despesas atualizadas: 0 itens
--------- beginning of crash
12-08 13:13:11.265 E/AndroidRuntime(16019): FATAL EXCEPTION: main
12-08 13:13:11.265 E/AndroidRuntime(16019): Process: com.example.gestaobilhares, PID: 16019
12-08 13:13:11.265 E/AndroidRuntime(16019): java.lang.NullPointerException
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at com.example.gestaobilhares.ui.clients.CycleHistoryFragment.getBinding(CycleHistoryFragment.kt:32)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at com.example.gestaobilhares.ui.clients.CycleHistoryFragment.atualizarEmptyState(CycleHistoryFragment.kt:182)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at com.example.gestaobilhares.ui.clients.CycleHistoryFragment.access$atualizarEmptyState(CycleHistoryFragment.kt:29)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at com.example.gestaobilhares.ui.clients.CycleHistoryFragment$configurarObservadores$1$1.emit(CycleHistoryFragment.kt:123)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at com.example.gestaobilhares.ui.clients.CycleHistoryFragment$configurarObservadores$1$1.emit(CycleHistoryFragment.kt:121)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.flow.StateFlowImpl.collect(StateFlow.kt:396)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.flow.StateFlowImpl$collect$1.invokeSuspend(Unknown Source:15)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(ContinuationImpl.kt:33)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.DispatchedTask.run(DispatchedTask.kt:108)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.EventLoop.processUnconfinedEvent(EventLoop.common.kt:68)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.DispatchedTaskKt.resumeUnconfined(DispatchedTask.kt:245)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.DispatchedTaskKt.dispatch(DispatchedTask.kt:163)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.CancellableContinuationImpl.dispatchResume(CancellableContinuationImpl.kt:474)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.CancellableContinuationImpl.completeResume(CancellableContinuationImpl.kt:590)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.channels.BufferedChannelKt.tryResume0(BufferedChannel.kt:2896)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.channels.BufferedChannelKt.access$tryResume0(BufferedChannel.kt:1)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.channels.BufferedChannel.tryResumeReceiver(BufferedChannel.kt:638)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.channels.BufferedChannel.updateCellSend(BufferedChannel.kt:458)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.channels.BufferedChannel.access$updateCellSend(BufferedChannel.kt:36)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.channels.BufferedChannel.send$suspendImpl(BufferedChannel.kt:3089)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.channels.BufferedChannel.send(Unknown Source:0)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.flow.internal.CombineKt$combineInternal$2$1$1.emit(Combine.kt:32)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.flow.FlowKt__ZipKt$combine$$inlined$combineUnsafe$FlowKt__ZipKt$1$2.invokeSuspend(Zip.kt:262)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(ContinuationImpl.kt:33)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at kotlinx.coroutines.DispatchedTask.run(DispatchedTask.kt:106)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at android.os.Handler.handleCallback(Handler.java:938)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at android.os.Handler.dispatchMessage(Handler.java:99)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at android.os.Looper.loopOnce(Looper.java:226)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at android.os.Looper.loop(Looper.java:313)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at android.app.ActivityThread.main(ActivityThread.java:8663)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at java.lang.reflect.Method.invoke(Native Method)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:571)
12-08 13:13:11.265 E/AndroidRuntime(16019): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1135)
